n,method,total,SN,SEP,NWN,UND,decided,dens_SN_of_total,dens_SN_of_decided,dens_SEP_of_decided,frac_undecided
2,exact,1,1,0,0,0,1,1.0,1.0,0.0,0.0
3,exact,1,1,0,0,0,1,1.0,1.0,0.0,0.0
4,exact,3,3,0,0,0,3,1.0,1.0,0.0,0.0
5,exact,6,6,0,0,0,6,1.0,1.0,0.0,0.0
6,exact,17,17,0,0,0,17,1.0,1.0,0.0,0.0
7,exact,41,41,0,0,0,41,1.0,1.0,0.0,0.0
8,exact,116,116,0,0,0,116,1.0,1.0,0.0,0.0
9,exact,313,312,0,1,0,313,0.996805,0.996805,0.0,0.0
10,exact,895,894,0,1,0,895,0.998883,0.998883,0.0,0.0
11,exact,2550,2545,0,3,2,2548,0.998039,0.998823,0.0,0.000784
12,exact,7450,7425,0,19,6,7444,0.996644,0.997448,0.0,0.000805
13,exact,21881,21803,3,51,24,21857,0.996435,0.997529,0.00013726,0.001097
14,exact,65168,64930,7,137,94,65074,0.996348,0.997787,0.00010757,0.001442
15,exact,195370,194437,26,527,380,194990,0.995224,0.997164,0.00013334,0.001945
16,exact,591007,587927,146,1630,1304,589703,0.994789,0.996988,0.00024758,0.002206
17,montecarlo,50000,49739,14,125,122,49878,0.99478,0.997213,0.00028068,0.00244
18,montecarlo,50000,49673,21,141,165,49835,0.99346,0.996749,0.00042139,0.0033
20,montecarlo,50000,49596,28,161,215,49785,0.99192,0.996204,0.00056242,0.0043
22,montecarlo,50000,49501,31,197,271,49729,0.99002,0.995415,0.00062338,0.00542
25,montecarlo,50000,49318,55,201,426,49574,0.98636,0.994836,0.00110945,0.00852
28,montecarlo,50000,49195,52,196,557,49443,0.9839,0.994984,0.00105172,0.01114
32,montecarlo,50000,48861,85,236,818,49182,0.97722,0.993473,0.00172827,0.01636
38,montecarlo,50000,48242,98,227,1433,48567,0.96484,0.993308,0.00201783,0.02866
45,montecarlo,50000,47127,170,223,2480,47520,0.94254,0.99173,0.00357744,0.0496
55,montecarlo,50000,44739,197,224,4840,45160,0.89478,0.990678,0.00436227,0.0968
